id;Название;Реставрация;Размер;Автор;Школа;Регион;Город;Страна;Материал;Персоналии;датировка окладов;Уточняющая датировка;Век;Страна (хранение);Место хранения;Иконография;Тип изображения;Фрагменты
1302.0;Исаия, Игнатий и Авраамий Ростовские;TRUE;25 х 20,2 см;;;владимирская область;суздаль;россия;Холст, темпера;святители исаия, игнатий и авраамий ростовские;;1551-1600;16.0;Россия;Государственный Владимиро-Суздальский историко-архитектурный и художественный музей-заповедник;Святые;Многофигурное;
1303.0;Исидор Ростовский;TRUE;141,5 х 44,7 см;;;вологодская область;;россия;Дерево, темпера;спаситель, богоматерь, блаженный исидор;;1601-1650;17.0;Россия;Сольвычегодский историко-художественный музей;Святые;Ростовое;
1304.0;Иулиания (оборотная сторона двусторонней иконы );FALSE;73,4 х 64 см;;;новгородская область;новгород;россия;Дерево, темпера;мученица иулиания;;1201-1250;13.0;Россия;Дом-музей П. Д. Корина (Государственная Третьяковская галерея);Святые;Поясное;
1305.0;Иулиания;FALSE;96,3 х 68,5 см;;псковская школа;;;;Дерево, темпера;;;1391-1400;14.0;Россия;Псковский государственный объединенный историко-архитектурный и художественный музей-заповедник;Святые;Поясное;
1306.0;Кассиан Угличский;TRUE;32,3 х 26;Андрей Яковлев;;;;;Дерево, темпера;преподобный кассиан грек, царевич димитрий угличский;;1739;18.0;Россия;Рыбинский государственный историко-архитектурный и художественный музей-заповедник;Святые;Ростовое;Кассиан Угличский
1307.0;Кириакия;TRUE;67,5 х 43,5 см;Северобалканский мастер;;;;;Дерево, темпера;мученица кириакия;;;15.0;Македония;Государственный Исторический музей, Москва;Святые;Поясное;
1308.0;Кирик и Иулита, с 8 клеимами жития;FALSE;71.6 х 59,4 см.;;;;;;Дерево, левкас, темпера;;;1801-1850;19.0;Россия;Частное собрание Игоря Возякова;Святые;Ростовое с клеймами;
1309.0;Кирик и Иулитта;FALSE;26 х 36 см;Школа Митрофановича;;;;;Дерево, темпера;мученик кирик, мученица иулитта;;;17.0;Сербия;Афон, монастырь Хиландар;Святые;Ростовое;
1310.0;Кирик и Иулитта;TRUE;107,0 x 90,0 см;Гурий Никитин Кинешемцев;;;;;Дерево, темпера;мученик кирик, мученица иулитта;;1680-1690;17.0;Россия;Ярославский государственный историко-архитектурный и художественный музей-заповедник;Святые;Ростовое с клеймами;Усекновение главы мученицы Улиты
1311.0;Кирик и Иулитта;FALSE;71 х 57,5 см;;;тверская область;;россия;Дерево, темпера;спаситель, мученик кирик, мученица иулитта;;1767-1800;18.0;Россия;Центральный музей древнерусской культуры и искусства имени Андрея Рублева, Москва;Святые;Ростовое;
1312.0;Кирик и Иулитта, с житием;FALSE;102 x 79 см.;;;;;;Дерево, темпера;кирик и иулитта, с житием;;;17.0;Россия;Краснодарский государственный историко-археологический музей-заповедник им. Е.Д. Фелицына;Святые;Ростовое с клеймами;
1313.0;Кирилл Александрийский;FALSE;189 х 106 см;;;;;;Дерево, темпера;святитель кирилл александрийский;;1654;17.0;Греция;Храм на острове Керкира, Греция;Святые;Ростовое;
1314.0;Кирилл Александрийский;FALSE;34 х 27,5;;;афон;;;Дерево, темпера;святитель кирилл александрийский;;1491-1500;15.0;Греция;Афон, монастырь Пантократор;Святые;Поясное;
1315.0;Кирилл Александрийский;FALSE;24 х 15 см;Эммануил Тзанес;;;;;Дерево, темпера;свт кирилл александрийский;;1648;17.0;Греция;Византийский и христианский музей, Афины;Святые;Ростовое;
1316.0;Кирилл Белозерский (из деисусного чина);FALSE;45 х 19 см;;;московская область;;россия;Дерево, темпера;преп.кирилл белозерский;;1491-1500;15.0;Россия;Государственный Русский музей, Санкт-Петербург;Святые;Ростовое;
1317.0;Кирилл Белозерский;FALSE;122,5 х 62,5 см;;московская школа;;;;Дерево, темпера, басма;преп.кирилл белозерский;;1501-1510;16.0;Россия;Государственный Русский музей, Санкт-Петербург;Святые;Ростовое;
1318.0;Кирилл Белозерский;TRUE;28 x 24 см;;московская школа;;;;Дерево, темпера;преподобный кирилл белозерский;;1451-1500;15.0;Россия;Государственная Третьяковская галерея, Москва;Святые;Ростовое;
1319.0;Кирилл Белозерский;FALSE;33,5 x 27,5 см;;;вологодская область;вологда;россия;Дерево, темпера;спаситель, богоматерь, преподобный кирилл белозерский;;1726-1750;18.0;Россия;Вологодский государственный историко-архитектурный и художественный музей-заповедник;Святые;Ростовое;
1320.0;Кирилл Белозерский, Кирилл Александрийский (в житии Кирилла Белозерского);FALSE;97,8 х 75 см;;;;;;Дерево, темпера;преп. кирилл белозерский, свт. кирилл александрийский;;1551-1600;16.0;Россия;Государственная Третьяковская галерея, Москва;Святые;Ростовое с клеймами;
1321.0;Кирилл Белозерский, в житии;TRUE;150,5 x 116,7 см;Школа Дионисия;;;;;Дерево, темпера;преп.кирилл белозерский, преп.сергий радонежский, преп.ферапонт;;1501-1510;16.0;Россия;Государственный Русский музей, Санкт-Петербург;Святые;Ростовое с клеймами;
