статус;id;персоналии_файл1;персоналии_файл2;добавлено;удалено
в обоих файлах;2962.0;богоматерь, праведный иоаким, праведная анна, служанки;богоматерь, праведный иоаким, праведная анна, служанки;;
в обоих файлах;2963.0;богоматерь, праведный иоаким, праведная анна, служанки, первосвященник захария, девы;богоматерь, праведный иоаким, праведная анна, служанки, первосвященник захария, девы;;
в обоих файлах;2964.0;богоматерь, праведный иоаким, праведная анна, служанки, первосвященник захария, девы;богоматерь, праведный иоаким, праведная анна, служанки, первосвященник захария, девы;;
в обоих файлах;2965.0;богоматерь, праведный иоаким, праведная анна;богоматерь, праведный иоаким, праведная анна;;
изменено;2966.0;иоанн предтеча, праведный захария, праведная елисавета, служанки;пророк иоанн предтеча, праведный захария, праведная елисавета, служанки;пророк иоанн предтеча;иоанн предтеча
изменено;2967.0;иоанн предтеча, праведный захария, праведная елисавета, служанки;пророк иоанн предтеча, праведный захария, праведная елисавета, служанки;пророк иоанн предтеча;иоанн предтеча
изменено;2968.0;иоанн предтеча, праведный захария, праведная елизавета, служанки;пророк иоанн предтеча, праведный захария, праведная елизавета, служанки;пророк иоанн предтеча;иоанн предтеча
изменено;2969.0;иоанн предтеча, праведный захария, праведная елизавета, служанки;пророк иоанн предтеча, праведный захария, праведная елизавета, служанки;пророк иоанн предтеча;иоанн предтеча
изменено;2970.0;иоанн предтеча, праведный захария, праведная елизавета, служанки;пророк иоанн предтеча, праведный захария, праведная елизавета, служанки;пророк иоанн предтеча;иоанн предтеча
изменено;2971.0;иоанн предтеча, праведный захария, праведная елизавета, служанки;пророк иоанн предтеча, праведный захария, праведная елизавета, служанки;пророк иоанн предтеча;иоанн предтеча
изменено;2972.0;младенец, богоматерь, праведный иосиф, служанка, ангелы, волхвы;младенец, богоматерь, праведный иосиф обручник, служанка, ангелы, волхвы;праведный иосиф обручник;праведный иосиф
изменено;2973.0;младенец, богоматерь, праведный иосиф, служанка, ангелы, волхвы, святитель николай чудотворец, пророк илия, священномученик климента, папа римский, косма, дамиан;младенец, богоматерь, праведный иосиф обручник, служанка, ангелы, волхвы, святитель николай, пророк илия, священномученик климент, папа римский, мученик косма, мученик дамиан;мученик дамиан, мученик косма, праведный иосиф обручник, святитель николай, священномученик климент;дамиан, косма, праведный иосиф, святитель николай чудотворец, священномученик климента
изменено;2974.0;спаситель, богоматерь, ангелы, великомученик никита, преподобный зосима соловецкий, великомученица анастасия, преподобный савватий соловецкий;спаситель, богоматерь, ангелы, великомученик никита, преподобный зосима соловецкий, великомученица анастасия узорешительница, преподобный савватий соловецкий;великомученица анастасия узорешительница;великомученица анастасия
изменено;2975.0;младенец, богоматерь, праведный иосиф, служанка, ангелы, волхвы, трое святых;младенец, богоматерь, праведный иосиф обручник, служанка, ангелы, волхвы, трое святых;праведный иосиф обручник;праведный иосиф
изменено;2976.0;младенец, богоматерь, праведный иосиф, служанка, ангелы, волхвы;младенец, богоматерь, праведный иосиф обручник, служанка, ангелы, волхвы;праведный иосиф обручник;праведный иосиф
изменено;2977.0;младенец, богоматерь, праведный иосиф, служанка, ангелы, волхвы;младенец, богоматерь, праведный иосиф обручник, служанка, ангелы, волхвы;праведный иосиф обручник;праведный иосиф
изменено;2978.0;младенец, богоматерь, праведный иосиф, служанка, ангелы, волхвы;младенец, богоматерь, праведный иосиф обручник, служанка, ангелы, волхвы;праведный иосиф обручник;праведный иосиф
изменено;2979.0;младенец, богоматерь, праведный иосиф, служанка, ангелы, волхвы;младенец, богоматерь, праведный иосиф обручник, служанка, ангелы, волхвы;праведный иосиф обручник;праведный иосиф
